OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
9941,FLYING J TRAVEL PLAZA #609,"I-10, EXIT 208-A",Eloy,AZ,930,3.45233333,32.7551703,-111.553493
9945,CIRCLE K #2706690,"I-85/US-29, EXIT 62 & US-280/US-431/SR-38/SR-1",Opelika,AL,50,2.999,32.6454116,-85.3782795
9959,FLYING J #876,"I-95, EXIT 104",Ruther Glen,VA,180,3.619,37.9287494,-77.4558151
9962,STRIPES #40673,"I-45, EXIT 179",Mcallen,TX,639,3.289,26.204114,-98.2300605
9971,TA DANSVILLE TRAVEL CENTER,"I-390 & COMMERCE, EXIT 5",Dansville,NY,190,4.499,42.5611258,-77.6961817
9973,BOLLA MARKET,"I-287, EXIT 66",Mahwah,NJ,115,3.53233333,41.0887072,-74.1437552
9990,JIMS  BEST STOP,US-45 & US-64,Selmer,TN,435,3.174,35.1700744,-88.5923645
9995,LOVES TRAVEL STOP #411,"I-35 & I-80, EXIT 125 & US-6",Clive,IA,320,3.34066666,41.6096559,-93.7754644
9997,Circle K #2723687,"I-20, EXIT 11 & US-27/SR-1",Bremen,GA,193,3.08733333,33.7208676,-85.1456929
10006,FLINT HILLS FUEL MART,US-50 & US-77,Florence,KS,336,3.499,38.2444619,-96.9280787
10007,CIRCLE K #2705346,SR-307,Savannah,GA,195,3.03233333,32.0790074,-81.0921335
10014,Sudden Service #6604,"I-40, EXIT 212",Nashville,TN,460,3.399,36.1622767,-86.7742984
10015,Loves Travel Stop #429,"I-65 & I-24, EXIT 87",Nashville,TN,460,3.46233333,36.1622767,-86.7742984
10020,Maplefields,"US-4, EXIT 2 & SR-22A",Fair Haven,VT,39,3.599,43.5947898,-73.2659674
10024,MILLERS TRAVEL CENTER,US-6 & US-50,Wellington,UT,835,3.659,39.5424659,-110.735434
10028,GOOD TO GO #10,US-35,Winamac,IN,290,3.914,41.0514299,-86.6030648
10030,LOVES TRAVEL STOP #715,I-77 EXIT 58 & SR-666 & US-52,Bastian,VA,185,3.59733333,37.155124,-81.15120983255046
10033,SHELL,"I-95, EXIT 133 & US-17 BUS",Fredericksburg,VA,180,3.25566666,38.3031837,-77.4605399
10047,TOWN PUMP FOOD STORE #8929,"I-15, EXIT 339",Conrad                                  ,MT,815,3.599,48.170251,-111.943019
10053,BECKS #27,"I-39/US-51, EXIT 72 & US-34",Mendota,IL,270,3.269,41.5472547,-89.1175852
10057,Flying J Travel Plaza #649,"I-465, EXIT 4",Indianapolis,IN,375,3.899,39.7683331,-86.1583502
10057,Flying J TravelPlaza #649,"I-465, EXIT 4",Indianapolis,IN,375,3.899,39.7683331,-86.1583502
10058,CITGO,US-431/SR-1 & SR-27,Abbeville                               ,AL,10,3.399,31.5702088,-85.2503315
10065,ROAD MART,US-71/US-59,Ashdown,AR,723,3.299,33.67344,-94.1299625
10077,FLYING J TRAVEL PLAZA #607,"I-55, EXIT 4 & I-40, EXIT 280",West Memphis,AR,435,3.15066666,35.1464797,-90.1845388
10085,EL CENTRO TRAVEL CENTER,"I-8, EXIT 115 & SR-86",El Centro                               ,CA,900,4.499,32.792,-115.563051
10101,PILOT TRAVEL CENTERS #65,"I-20, EXIT 194",Augusta                                 ,GA,135,3.859,33.4709714,-81.9748429
10101,PILOT TRAVEL CENTER #65,"I-20, EXIT 194",Augusta                                 ,GA,135,3.859,33.4709714,-81.9748429
10104,GEO H GREEN OIL,"I-85/SR-403, EXIT 41 & US-27 ALT",Newnan,GA,18,3.199,33.3806716,-84.7996573
10109,GIT N GO CONVENIENCE STORE #34,"US-30, EXIT 185 & SR-14",Marshalltown,IA,320,3.119,42.048881,-92.9122672
10110,JACKSON'S FOODS DBA ONE9 #1427,"I-84, EXIT 36",Nampa,ID,785,3.37066666,43.5737361,-116.559631
10116,Petro Stopping Center #359,"I-39/US-51, EXIT 99 & SR-38",Rochelle,IL,520,3.759,41.9239178,-89.0687074
10122,LOVES TRAVEL STOP #417,"I-80 & I-94, EXIT 9A",Gary,IN,365,3.809,41.6020962,-87.3370646
10126,PILOT TRAVEL CENTERS #152,"I-65, EXIT 16 & MEMPHIS RD",Memphis,IN,415,3.959,38.4833963,-85.7616319
10126,PILOT TRAVEL CENTER #152,"I-65, EXIT 16 & MEMPHIS RD",Memphis,IN,415,3.959,38.4833963,-85.7616319
10128,PETES #20,US-54/SR-7 & US-69,Fort Scott,KS,307,3.199,37.8399791,-94.7082882
10135,YESWAY #1116,"I-35, EXIT 60",Mcpherson,KS,434,3.259,38.3659015,-97.6575171
10142,PILOT TRAVEL CENTERS #438,"I-65, EXIT 6 & SR-100",Franklin,KY,415,3.169,38.2520423,-84.8633812
10144,PILOT TRAVEL CENTERS #358,"I-24 & US-305, EXIT 3",Paducah,KY,490,3.699,37.07006382654745,-88.67223006630331
10146,PILOT TRAVEL CENTERS #437,"I-75, EXIT 11 & SR-92",Williamsburg,KY,410,3.609,36.7434169,-84.1596561
10150,PILOT TRAVEL CENTERS #300,"I-12, EXIT 40",Hammond,LA,725,3.23233333,30.5043583,-90.4611995
10154,I 49 TRUCK STOP,"I-49, EXIT 23 & US-167",Opelousas                               ,LA,600,3.199,30.5335302,-92.081509
10157,J AND  H OIL,"US-131, EXIT 72",Byron Center,MI,344,3.599,42.81929435,-85.72791854844013
10157,J AND  H OIL,"US-131, EXIT 72",Byron Center,MI,344,3.499,42.81929435,-85.72791854844013
10161,SPEEDWAY #8740,"I-69, EXIT 87",Dewitt,MI,342,3.759,29.0931328,-97.3158457
10161,SPEEDWAY #8740,"I-69, EXIT 87",Dewitt,MI,342,3.599,29.0931328,-97.3158457
10168,Express Stop,"I-94, EXIT 145",Jackson                                 ,MI,385,3.589,32.2998686,-90.1830408
10172,EXPRESS STOP FOOD STORE #4647,"I-75, EXIT 151 & SR- 81",Saginaw,MI,260,3.399,43.4200387,-83.9490365
10181,QUIKTRIP #611,I-55 EXIT 178,Herculaneum,MO,540,2.99066666,38.2683879,-90.3801201
10184,CIRCLE K #2721544,"I-55, EXIT 243 & US-278/SR-6",Batesville,MS,435,3.309,34.316488,-89.9527108
10192,INTERSTATE STATION #8,"I-55, EXIT 78                 ",Natchez                                 ,MS,760,3.399,31.5604076,-91.403171
20000,BIG BOYS TRUCK STOP,"I-95, EXIT 105",Kenly,NC,205,3.299,35.5959363,-78.1240031
20003,PILOT #7976,"I-77, EXIT 42",Troutman,NC,46,3.659,35.7005832,-80.8882314
20006,CENEX C STORE,US-52,Kenmare,ND,452,3.46733333,48.647058089990594,-102.03981298124643
20009,BIG SPRINGS TRUCK AND TRAVEL,"I-80, EXIT 107",Big Springs,NE,475,3.074,41.061381,-102.074349
20011,CUBBYS #111,US-81,Norfolk,NE,470,3.209,42.0283379,-97.4169964
20012,FLYING J TRAVEL PLAZA #686,"I-80, EXIT 432",Gretna,NE,319,3.28233333,41.1469269,-96.2390053
20014,SIMONS EXIT 16,"I-89, EXIT 16",Enfield                                 ,NH,39,3.499,43.6407024,-72.1439629
20019,SUNOCO,"I-295, EXIT 2C & SR-140",Penns Grove,NJ,150,3.459,39.7295581,-75.4679734
20024,LOVES TRAVEL STOP #259,"I-10 & AIRPORT RD, EXIT 132",Las Cruces,NM,640,3.214,32.3140354,-106.779807
20027,LOVES TRAVEL STOP #262,"I-40, EXIT 333",Tucumcari,NM,585,3.889,35.1719425,-103.72504
20028,MORTONS TRUCK STOP,"I-15, EXIT 46",North Las Vegas,NV,910,3.399,36.2005843,-115.121584
20031,FLYING J TRAVEL PLAZA #770,"I-80, EXIT 176",Winnemucca                              ,NV,966,3.77733333,40.9724295,-117.734802
20033,LOVES TRAVEL STOP #772,"I-86 & SR-17, EXIT 37",Bath,NY,190,4.489,42.3370164,-77.3177577
20036,SMOKIN JOES,I-90 EXIT 24,Sanborn                                 ,NY,38,3.699,43.1437383,-78.87506292936254
